2025-01-20T22:28:17.336077,Vermelho
2025-01-20T22:28:45.039173,Vermelho
2025-01-20T22:29:15.086267,Preto
2025-01-20T22:29:45.157290,Preto
2025-01-20T22:30:15.167827,Preto
2025-01-20T22:30:45.250623,Vermelho
2025-01-20T22:31:15.335246,Preto
2025-01-20T22:31:45.387411,Vermelho
2025-01-20T22:32:15.436566,Preto
2025-01-20T22:32:45.530400,Vermelho
2025-01-20T22:33:15.585855,Preto
2025-01-20T22:33:45.657931,Vermelho
2025-01-20T22:34:15.657234,Vermelho
2025-01-20T22:34:45.759435,Preto
2025-01-20T22:35:15.825536,Branco
2025-01-20T22:35:45.868183,Preto
2025-01-20T22:36:15.909095,Vermelho
2025-01-20T22:36:46.024107,Preto
2025-01-20T22:37:16.044113,Preto
2025-01-20T22:37:46.120078,Preto
2025-01-20T22:51:47.070074,Vermelho
2025-01-20T22:51:49.999953,Branco
2025-01-20T22:52:17.805185,Vermelho
2025-01-20T22:52:47.915627,Preto
2025-01-20T22:53:17.957127,Preto
2025-01-20T22:53:48.001644,Preto
2025-01-20T22:54:18.118677,Branco
2025-01-20T22:54:48.190488,Preto
2025-01-20T22:55:18.187193,Preto
2025-01-20T22:55:48.246431,Vermelho
2025-01-20T22:56:18.354550,Vermelho
2025-01-20T22:56:48.355900,Preto
2025-01-20T22:57:18.444101,Preto
2025-01-20T22:57:48.509833,Preto
2025-01-20T22:58:18.543071,Vermelho
2025-01-20T22:58:48.647680,Preto
2025-01-20T22:59:18.689405,Vermelho
2025-01-20T22:59:48.800175,Vermelho
2025-01-20T23:00:18.798131,Vermelho
2025-01-20T23:00:48.921938,Vermelho
2025-01-20T23:01:18.976012,Vermelho
2025-01-20T23:01:52.586372,Preto
2025-01-20T23:02:19.082957,Vermelho
2025-01-20T23:09:20.723391,Preto
2025-01-20T23:09:49.959870,Vermelho
2025-01-20T23:10:20.052898,Vermelho
2025-01-20T23:10:50.092327,Vermelho
2025-01-20T23:11:20.137429,Vermelho
2025-01-20T23:11:50.201101,Preto
2025-01-20T23:12:20.251915,Preto
2025-01-20T23:12:50.329137,Preto
2025-01-20T23:13:20.427990,Vermelho
2025-01-20T23:13:50.512914,Preto
